batch,user_id,secondjudging,showntojudges,secondround,semifinals,livefinals,filename,title,j_scores,o_scores,j_score_data,o_score_data,path
1,1575,True,True,True,True,False,80136__1575__63108.jpg,project,"{""R"": 2, ""L"": 5, ""M"": 3, ""P"": 2, ""H"": 4}","{""a"": 5, ""m"": 5, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 2, ""raw_mean"": 4, ""mean_all"": 3.2, ""variance"": 1.7, ""label"": 0, ""scores"": [2, 5, 3, 2, 4]}","{""score"": 5.0, ""raw_mean"": 4.4, ""mean"": 4.4, ""variance"": 0.8, ""label"": 0, ""scores"": [5, 5, 3, 4, 5]}",5-1-1575
1,403,True,True,True,True,True,58985__403__58985.jpg,project,"{""R"": 5, ""L"": 4, ""M"": 5, ""P"": 3, ""H"": 3}","{""a"": 4, ""m"": 5, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 3, ""raw_mean"": 4.666666666666667, ""mean_all"": 4, ""variance"": 1, ""label"": 0, ""scores"": [5, 4, 5, 3, 3]}","{""score"": 5.0, ""raw_mean"": 4.2, ""mean"": 4.2, ""variance"": 0.7, ""label"": 0, ""scores"": [4, 5, 3, 4, 5]}",5-1-403
1,2948,True,True,True,True,False,38126__2948__62183.jpg,project,"{""R"": 4, ""L"": 2, ""M"": 3, ""P"": 3, ""H"": 4}","{""a"": 3, ""m"": 5, ""t"": 3, ""p"": 5, ""r"": 4}","{""score"": 1, ""raw_mean"": 3.6666666666666665, ""mean_all"": 3.2, ""variance"": 0.7, ""label"": 0, ""scores"": [4, 2, 3, 3, 4]}","{""score"": 5.0, ""raw_mean"": 4, ""mean"": 4, ""variance"": 1, ""label"": 2, ""scores"": [3, 5, 3, 5, 4]}",5-1-2948
1,1260,True,True,True,True,False,25326__1260__62352.jpg,project,"{""R"": 3, ""L"": 4, ""M"": 4, ""P"": 3, ""H"": 3}","{""a"": 4, ""m"": 4, ""t"": 5, ""p"": 4, ""r"": 5}","{""score"": 1, ""raw_mean"": 3.6666666666666665, ""mean_all"": 3.4, ""variance"": 0.3, ""label"": 0, ""scores"": [3, 4, 4, 3, 3]}","{""score"": 5.0, ""raw_mean"": 4.4, ""mean"": 4.4, ""variance"": 0.3, ""label"": 0, ""scores"": [4, 4, 5, 4, 5]}",5-1-1260
1,235,True,True,True,True,True,65595__235__59556.jpg,project,"{""R"": 5, ""L"": 4, ""M"": 5, ""P"": 5, ""H"": 3}","{""a"": 4, ""m"": 5, ""t"": 5, ""p"": 5, ""r"": 5}","{""score"": 5, ""raw_mean"": 5, ""mean_all"": 4.4, ""variance"": 0.8, ""label"": 0, ""scores"": [5, 4, 5, 5, 3]}","{""score"": 5.0, ""raw_mean"": 4.8, ""mean"": 4.8, ""variance"": 0.2, ""label"": 0, ""scores"": [4, 5, 5, 5, 5]}",5-1-235
1,2878,True,True,True,True,False,57475__2878__57475.jpg,project,"{""R"": 5, ""L"": 5, ""M"": 1, ""P"": 3, ""H"": 3}","{""a"": 3, ""m"": 5, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 3, ""raw_mean"": 4.333333333333333, ""mean_all"": 3.4, ""variance"": 2.8, ""label"": 0, ""scores"": [5, 5, 1, 3, 3]}","{""score"": 5.0, ""raw_mean"": 4, ""mean"": 4, ""variance"": 1, ""label"": 2, ""scores"": [3, 5, 3, 4, 5]}",5-1-2878
1,421,True,True,False,False,False,61706__421__60716.jpg,project,"{""R"": 3, ""L"": 1, ""M"": 2, ""P"": 2, ""H"": 2}","{""a"": 3, ""m"": 3, ""t"": 5, ""p"": 3, ""r"": 3}","{""score"": 0, ""raw_mean"": 2.3333333333333335, ""mean_all"": 2, ""variance"": 0.5, ""label"": 0, ""scores"": [3, 1, 2, 2, 2]}","{""score"": 4.666, ""raw_mean"": 3.4, ""mean"": 3.4, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 3, 5, 3, 3]}",4-1-421
1,3511,True,True,True,True,True,09016__3511__61090.jpg,project,"{""R"": 2, ""L"": 5, ""M"": 4, ""P"": 4, ""H"": 4}","{""a"": 3, ""m"": 4, ""t"": 3, ""p"": 5, ""r"": 3}","{""score"": 2, ""raw_mean"": 4.333333333333333, ""mean_all"": 3.8, ""variance"": 1.2, ""label"": 0, ""scores"": [2, 5, 4, 4, 4]}","{""score"": 4.666, ""raw_mean"": 3.6, ""mean"": 3.6, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 4, 3, 5, 3]}",4-1-3511
2,3595,True,True,True,False,False,39475__3595__57493.jpg,project,"{""R"": 2, ""L"": 3, ""M"": 3, ""P"": 2, ""H"": 3}","{""a"": 3, ""m"": 3, ""t"": 3, ""p"": 3, ""r"": 5}","{""score"": 0, ""raw_mean"": 3, ""mean_all"": 2.6, ""variance"": 0.3, ""label"": 0, ""scores"": [2, 3, 3, 2, 3]}","{""score"": 4.666, ""raw_mean"": 3.4, ""mean"": 3.4, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 3, 3, 3, 5]}",4-2-3595
1,181,True,True,True,False,False,95646__181__64659.jpg,project,"{""R"": 3, ""L"": 2, ""M"": 3, ""P"": 2, ""H"": 3}","{""a"": 3, ""m"": 4, ""t"": 5, ""p"": 4, ""r"": 4}","{""score"": 0, ""raw_mean"": 3, ""mean_all"": 2.6, ""variance"": 0.3, ""label"": 0, ""scores"": [3, 2, 3, 2, 3]}","{""score"": 4.666, ""raw_mean"": 4, ""mean"": 4, ""variance"": 0.5, ""label"": 2, ""scores"": [3, 4, 5, 4, 4]}",4-1-181
1,3381,True,True,True,True,False,49846__3381__64894.jpg,project,"{""R"": 3, ""L"": 2, ""M"": 3, ""P"": 2, ""H"": 4}","{""a"": 3, ""m"": 2, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 0, ""raw_mean"": 3.3333333333333335, ""mean_all"": 2.8, ""variance"": 0.7, ""label"": 0, ""scores"": [3, 2, 3, 2, 4]}","{""score"": 4.666, ""raw_mean"": 3.4, ""mean"": 3.4, ""variance"": 1.3, ""label"": 0, ""scores"": [3, 2, 3, 4, 5]}",4-1-3381
1,5787,True,True,True,False,False,54385__5787__58345.jpg,project,"{""R"": 3, ""L"": 3, ""M"": 2, ""P"": 3, ""H"": 2}","{""a"": 3, ""m"": 3, ""t"": 3, ""p"": 3, ""r"": 5}","{""score"": 0, ""raw_mean"": 3, ""mean_all"": 2.6, ""variance"": 0.3, ""label"": 0, ""scores"": [3, 3, 2, 3, 2]}","{""score"": 4.666, ""raw_mean"": 3.4, ""mean"": 3.4, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 3, 3, 3, 5]}",4-1-5787
1,4123,True,True,True,True,False,82616__4123__61628.jpg,project,"{""R"": 2, ""L"": 5, ""M"": 2, ""P"": 2, ""H"": 3}","{""a"": 4, ""m"": 3, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 2, ""raw_mean"": 3.3333333333333335, ""mean_all"": 2.8, ""variance"": 1.7, ""label"": 0, ""scores"": [2, 5, 2, 2, 3]}","{""score"": 4.666, ""raw_mean"": 3.8, ""mean"": 3.8, ""variance"": 0.7, ""label"": 0, ""scores"": [4, 3, 3, 4, 5]}",4-1-4123
1,2365,False,False,False,False,False,26536__2365__63562.jpg,project,"{""R"": 0, ""L"": 0, ""M"": 0, ""P"": 0, ""H"": 0}","{""a"": 2, ""m"": 2, ""t"": 2, ""p"": 2, ""r"": 5}","{""score"": 0, ""raw_mean"": 0, ""mean_all"": 0, ""variance"": 0, ""label"": 0, ""scores"": [0, 0, 0, 0, 0]}","{""score"": 4.666, ""raw_mean"": 2.6, ""mean"": 2.6, ""variance"": 1.8, ""label"": 0, ""scores"": [2, 2, 2, 2, 5]}",4-1-2365
1,107,True,True,True,True,False,23556__107__65532.jpg,project,"{""R"": 1, ""L"": 4, ""M"": 3, ""P"": 2, ""H"": 3}","{""a"": 4, ""m"": 4, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 0, ""raw_mean"": 3.3333333333333335, ""mean_all"": 2.6, ""variance"": 1.3, ""label"": 0, ""scores"": [1, 4, 3, 2, 3]}","{""score"": 4.666, ""raw_mean"": 4, ""mean"": 4, ""variance"": 0.5, ""label"": 2, ""scores"": [4, 4, 3, 4, 5]}",4-1-107
2,5734,True,True,True,False,False,16135__5734__53161.jpg,project,"{""R"": 1, ""L"": 3, ""M"": 2, ""P"": 3, ""H"": 3}","{""a"": 3, ""m"": 4, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 0, ""raw_mean"": 3, ""mean_all"": 2.4, ""variance"": 0.8, ""label"": 0, ""scores"": [1, 3, 2, 3, 3]}","{""score"": 4.666, ""raw_mean"": 3.8, ""mean"": 3.8, ""variance"": 0.7, ""label"": 0, ""scores"": [3, 4, 3, 4, 5]}",4-2-5734
1,2625,True,True,True,True,True,34506__2625__60543.jpg,project,"{""R"": 5, ""L"": 4, ""M"": 5, ""P"": 4, ""H"": 5}","{""a"": 4, ""m"": 3, ""t"": 4, ""p"": 4, ""r"": 5}","{""score"": 5, ""raw_mean"": 5, ""mean_all"": 4.6, ""variance"": 0.3, ""label"": 0, ""scores"": [5, 4, 5, 4, 5]}","{""score"": 4.666, ""raw_mean"": 4, ""mean"": 4, ""variance"": 0.5, ""label"": 2, ""scores"": [4, 3, 4, 4, 5]}",4-1-2625
1,1965,True,True,True,True,False,98095__1965__59089.jpg,project,"{""R"": 2, ""L"": 4, ""M"": 3, ""P"": 3, ""H"": 4}","{""a"": 3, ""m"": 4, ""t"": 4, ""p"": 4, ""r"": 5}","{""score"": 1, ""raw_mean"": 3.6666666666666665, ""mean_all"": 3.2, ""variance"": 0.7, ""label"": 0, ""scores"": [2, 4, 3, 3, 4]}","{""score"": 4.666, ""raw_mean"": 4, ""mean"": 4, ""variance"": 0.5, ""label"": 2, ""scores"": [3, 4, 4, 4, 5]}",4-1-1965
1,357,True,True,True,False,False,35875__357__57853.jpg,project,"{""R"": 2, ""L"": 3, ""M"": 3, ""P"": 2, ""H"": 3}","{""a"": 3, ""m"": 4, ""t"": 2, ""p"": 3, ""r"": 5}","{""score"": 0, ""raw_mean"": 3, ""mean_all"": 2.6, ""variance"": 0.3, ""label"": 0, ""scores"": [2, 3, 3, 2, 3]}","{""score"": 4.666, ""raw_mean"": 3.4, ""mean"": 3.4, ""variance"": 1.3, ""label"": 0, ""scores"": [3, 4, 2, 3, 5]}",4-1-357
1,1115,True,True,False,False,False,22606__1115__60622.jpg,project,"{""R"": 2, ""L"": 3, ""M"": 2, ""P"": 2, ""H"": 2}","{""a"": 3, ""m"": 3, ""t"": 4, ""p"": 4, ""r"": 5}","{""score"": 0, ""raw_mean"": 2.3333333333333335, ""mean_all"": 2.2, ""variance"": 0.2, ""label"": 0, ""scores"": [2, 3, 2, 2, 2]}","{""score"": 4.666, ""raw_mean"": 3.8, ""mean"": 3.8, ""variance"": 0.7, ""label"": 0, ""scores"": [3, 3, 4, 4, 5]}",4-1-1115
1,6020,True,True,True,False,False,93695__6020__59639.jpg,project,"{""R"": 1, ""L"": 2, ""M"": 2, ""P"": 2, ""H"": 4}","{""a"": 3, ""m"": 4, ""t"": 3, ""p"": 3, ""r"": 5}","{""score"": 0, ""raw_mean"": 2.6666666666666665, ""mean_all"": 2.2, ""variance"": 1.2, ""label"": 0, ""scores"": [1, 2, 2, 2, 4]}","{""score"": 4.666, ""raw_mean"": 3.6, ""mean"": 3.6, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 4, 3, 3, 5]}",4-1-6020
1,1983,True,True,False,False,False,64946__1983__64946.jpg,project,"{""R"": 3, ""L"": 1, ""M"": 1, ""P"": 1, ""H"": 3}","{""a"": 3, ""m"": 3, ""t"": 3, ""p"": 3, ""r"": 5}","{""score"": 0, ""raw_mean"": 2.3333333333333335, ""mean_all"": 1.8, ""variance"": 1.2, ""label"": 0, ""scores"": [3, 1, 1, 1, 3]}","{""score"": 4.666, ""raw_mean"": 3.4, ""mean"": 3.4, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 3, 3, 3, 5]}",4-1-1983
1,5966,True,True,False,False,False,52056__5966__65025.jpg,project,"{""R"": 1, ""L"": 2, ""M"": 2, ""P"": 1, ""H"": 3}","{""a"": 3, ""m"": 3, ""t"": 3, ""p"": 3, ""r"": 5}","{""score"": 0, ""raw_mean"": 2.3333333333333335, ""mean_all"": 1.8, ""variance"": 0.7, ""label"": 0, ""scores"": [1, 2, 2, 1, 3]}","{""score"": 4.666, ""raw_mean"": 3.4, ""mean"": 3.4, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 3, 3, 3, 5]}",4-1-5966
1,313,True,True,True,True,True,96685__313__58669.jpg,project,"{""R"": 3, ""L"": 2, ""M"": 4, ""P"": 5, ""H"": 3}","{""a"": 3, ""m"": 4, ""t"": 3, ""p"": 5, ""r"": 3}","{""score"": 2, ""raw_mean"": 4, ""mean_all"": 3.4, ""variance"": 1.3, ""label"": 0, ""scores"": [3, 2, 4, 5, 3]}","{""score"": 4.666, ""raw_mean"": 3.6, ""mean"": 3.6, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 4, 3, 5, 3]}",4-1-313
1,1709,True,True,True,True,False,50055__1709__55005.jpg,project,"{""R"": 2, ""L"": 4, ""M"": 4, ""P"": 3, ""H"": 4}","{""a"": 4, ""m"": 3, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 1, ""raw_mean"": 4, ""mean_all"": 3.4, ""variance"": 0.8, ""label"": 0, ""scores"": [2, 4, 4, 3, 4]}","{""score"": 4.666, ""raw_mean"": 3.8, ""mean"": 3.8, ""variance"": 0.7, ""label"": 0, ""scores"": [4, 3, 3, 4, 5]}",4-1-1709
1,4320,True,True,True,False,False,46846__4320__64864.jpg,project,"{""R"": 2, ""L"": 3, ""M"": 2, ""P"": 2, ""H"": 3}","{""a"": 4, ""m"": 3, ""t"": 3, ""p"": 3, ""r"": 5}","{""score"": 0, ""raw_mean"": 2.6666666666666665, ""mean_all"": 2.4, ""variance"": 0.3, ""label"": 0, ""scores"": [2, 3, 2, 2, 3]}","{""score"": 4.666, ""raw_mean"": 3.6, ""mean"": 3.6, ""variance"": 0.8, ""label"": 0, ""scores"": [4, 3, 3, 3, 5]}",4-1-4320
2,4223,True,True,False,False,False,49075__4223__57094.jpg,project,"{""R"": 2, ""L"": 2, ""M"": 2, ""P"": 3, ""H"": 2}","{""a"": 3, ""m"": 3, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 0, ""raw_mean"": 2.3333333333333335, ""mean_all"": 2.2, ""variance"": 0.2, ""label"": 0, ""scores"": [2, 2, 2, 3, 2]}","{""score"": 4.666, ""raw_mean"": 3.6, ""mean"": 3.6, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 3, 3, 4, 5]}",4-2-4223
1,5815,True,True,True,True,True,93045__5815__54039.jpg,project,"{""R"": 4, ""L"": 5, ""M"": 5, ""P"": 5, ""H"": 3}","{""a"": 3, ""m"": 3, ""t"": 5, ""p"": 4, ""r"": 3}","{""score"": 5, ""raw_mean"": 5, ""mean_all"": 4.4, ""variance"": 0.8, ""label"": 0, ""scores"": [4, 5, 5, 5, 3]}","{""score"": 4.666, ""raw_mean"": 3.6, ""mean"": 3.6, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 3, 5, 4, 3]}",4-1-5815
1,5730,True,True,True,True,False,62435__5730__53426.jpg,project,"{""R"": 3, ""L"": 5, ""M"": 3, ""P"": 2, ""H"": 3}","{""a"": 4, ""m"": 4, ""t"": 4, ""p"": 3, ""r"": 5}","{""score"": 2, ""raw_mean"": 3.6666666666666665, ""mean_all"": 3.2, ""variance"": 1.2, ""label"": 0, ""scores"": [3, 5, 3, 2, 3]}","{""score"": 4.666, ""raw_mean"": 4, ""mean"": 4, ""variance"": 0.5, ""label"": 2, ""scores"": [4, 4, 4, 3, 5]}",4-1-5730
1,2262,True,True,True,True,False,50565__2262__56505.jpg,project,"{""R"": 1, ""L"": 3, ""M"": 4, ""P"": 1, ""H"": 3}","{""a"": 3, ""m"": 4, ""t"": 3, ""p"": 3, ""r"": 5}","{""score"": 0, ""raw_mean"": 3.3333333333333335, ""mean_all"": 2.4, ""variance"": 1.8, ""label"": 0, ""scores"": [1, 3, 4, 1, 3]}","{""score"": 4.666, ""raw_mean"": 3.6, ""mean"": 3.6, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 4, 3, 3, 5]}",4-1-2262
1,774,True,True,True,False,False,46635__774__53664.jpg,project,"{""R"": 2, ""L"": 2, ""M"": 3, ""P"": 2, ""H"": 3}","{""a"": 4, ""m"": 3, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 0, ""raw_mean"": 2.6666666666666665, ""mean_all"": 2.4, ""variance"": 0.3, ""label"": 0, ""scores"": [2, 2, 3, 2, 3]}","{""score"": 4.666, ""raw_mean"": 3.8, ""mean"": 3.8, ""variance"": 0.7, ""label"": 0, ""scores"": [4, 3, 3, 4, 5]}",4-1-774
1,2908,True,True,True,True,True,14055__2908__55041.jpg,project,"{""R"": 2, ""L"": 2, ""M"": 4, ""P"": 4, ""H"": 4}","{""a"": 4, ""m"": 3, ""t"": 5, ""p"": 4, ""r"": 4}","{""score"": 1, ""raw_mean"": 4, ""mean_all"": 3.2, ""variance"": 1.2, ""label"": 0, ""scores"": [2, 2, 4, 4, 4]}","{""score"": 4.666, ""raw_mean"": 4, ""mean"": 4, ""variance"": 0.5, ""label"": 2, ""scores"": [4, 3, 5, 4, 4]}",4-1-2908
1,3908,True,True,True,True,False,31906__3908__60913.jpg,project,"{""R"": 3, ""L"": 4, ""M"": 3, ""P"": 2, ""H"": 4}","{""a"": 4, ""m"": 5, ""t"": 3, ""p"": 4, ""r"": 4}","{""score"": 1, ""raw_mean"": 3.6666666666666665, ""mean_all"": 3.2, ""variance"": 0.7, ""label"": 0, ""scores"": [3, 4, 3, 2, 4]}","{""score"": 4.666, ""raw_mean"": 4, ""mean"": 4, ""variance"": 0.5, ""label"": 2, ""scores"": [4, 5, 3, 4, 4]}",4-1-3908
1,16,True,True,True,False,False,10345__16__54301.jpg,project,"{""R"": 1, ""L"": 3, ""M"": 2, ""P"": 2, ""H"": 4}","{""a"": 4, ""m"": 3, ""t"": 4, ""p"": 4, ""r"": 5}","{""score"": 0, ""raw_mean"": 3, ""mean_all"": 2.4, ""variance"": 1.3, ""label"": 0, ""scores"": [1, 3, 2, 2, 4]}","{""score"": 4.666, ""raw_mean"": 4, ""mean"": 4, ""variance"": 0.5, ""label"": 2, ""scores"": [4, 3, 4, 4, 5]}",4-1-16
1,1477,True,True,True,False,False,88795__1477__59788.jpg,project,"{""R"": 2, ""L"": 1, ""M"": 3, ""P"": 1, ""H"": 4}","{""a"": 4, ""m"": 4, ""t"": 3, ""p"": 3, ""r"": 5}","{""score"": 0, ""raw_mean"": 3, ""mean_all"": 2.2, ""variance"": 1.7, ""label"": 0, ""scores"": [2, 1, 3, 1, 4]}","{""score"": 4.666, ""raw_mean"": 3.8, ""mean"": 3.8, ""variance"": 0.7, ""label"": 0, ""scores"": [4, 4, 3, 3, 5]}",4-1-1477
1,6251,True,True,True,False,False,30266__6251__66203.jpg,project,"{""R"": 2, ""L"": 1, ""M"": 3, ""P"": 1, ""H"": 4}","{""a"": 3, ""m"": 5, ""t"": 4, ""p"": 3, ""r"": 3}","{""score"": 0, ""raw_mean"": 3, ""mean_all"": 2.2, ""variance"": 1.7, ""label"": 0, ""scores"": [2, 1, 3, 1, 4]}","{""score"": 4.666, ""raw_mean"": 3.6, ""mean"": 3.6, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 5, 4, 3, 3]}",4-1-6251
2,6141,True,True,False,False,False,58226__6141__62285.jpg,project,"{""R"": 3, ""L"": 2, ""M"": 2, ""P"": 2, ""H"": 2}","{""a"": 3, ""m"": 3, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 0, ""raw_mean"": 2.3333333333333335, ""mean_all"": 2.2, ""variance"": 0.2, ""label"": 0, ""scores"": [3, 2, 2, 2, 2]}","{""score"": 4.666, ""raw_mean"": 3.6, ""mean"": 3.6, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 3, 3, 4, 5]}",4-2-6141
1,6141,True,True,True,False,False,76226__6141__62267.jpg,project,"{""R"": 2, ""L"": 1, ""M"": 3, ""P"": 1, ""H"": 3}","{""a"": 3, ""m"": 5, ""t"": 2, ""p"": 4, ""r"": 4}","{""score"": 0, ""raw_mean"": 2.6666666666666665, ""mean_all"": 2, ""variance"": 1, ""label"": 0, ""scores"": [2, 1, 3, 1, 3]}","{""score"": 4.666, ""raw_mean"": 3.6, ""mean"": 3.6, ""variance"": 1.3, ""label"": 0, ""scores"": [3, 5, 2, 4, 4]}",4-1-6141
1,1414,True,True,True,True,False,58746__1414__64785.jpg,project,"{""R"": 3, ""L"": 3, ""M"": 2, ""P"": 2, ""H"": 4}","{""a"": 3, ""m"": 4, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 0, ""raw_mean"": 3.3333333333333335, ""mean_all"": 2.8, ""variance"": 0.7, ""label"": 0, ""scores"": [3, 3, 2, 2, 4]}","{""score"": 4.666, ""raw_mean"": 3.8, ""mean"": 3.8, ""variance"": 0.7, ""label"": 0, ""scores"": [3, 4, 3, 4, 5]}",4-1-1414
1,1824,True,True,True,True,False,47955__1824__55974.jpg,project,"{""R"": 3, ""L"": 2, ""M"": 3, ""P"": 2, ""H"": 4}","{""a"": 3, ""m"": 4, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 0, ""raw_mean"": 3.3333333333333335, ""mean_all"": 2.8, ""variance"": 0.7, ""label"": 0, ""scores"": [3, 2, 3, 2, 4]}","{""score"": 4.666, ""raw_mean"": 3.8, ""mean"": 3.8, ""variance"": 0.7, ""label"": 0, ""scores"": [3, 4, 3, 4, 5]}",4-1-1824
1,1129,True,True,False,False,False,55916__1129__61955.jpg,project,"{""R"": 3, ""L"": 2, ""M"": 1, ""P"": 2, ""H"": 2}","{""a"": 3, ""m"": 3, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 0, ""raw_mean"": 2.3333333333333335, ""mean_all"": 2, ""variance"": 0.5, ""label"": 0, ""scores"": [3, 2, 1, 2, 2]}","{""score"": 4.666, ""raw_mean"": 3.6, ""mean"": 3.6, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 3, 3, 4, 5]}",4-1-1129
2,1842,True,True,False,False,False,99956__1842__65999.jpg,project,"{""R"": 1, ""L"": 1, ""M"": 2, ""P"": 2, ""H"": 2}","{""a"": 4, ""m"": 2, ""t"": 4, ""p"": 3, ""r"": 5}","{""score"": 0, ""raw_mean"": 2, ""mean_all"": 1.6, ""variance"": 0.3, ""label"": 0, ""scores"": [1, 1, 2, 2, 2]}","{""score"": 4.666, ""raw_mean"": 3.6, ""mean"": 3.6, ""variance"": 1.3, ""label"": 0, ""scores"": [4, 2, 4, 3, 5]}",4-2-1842
1,6163,True,True,False,False,False,03736__6163__63730.jpg,project,"{""R"": 2, ""L"": 1, ""M"": 1, ""P"": 1, ""H"": 2}","{""a"": 2, ""m"": 3, ""t"": 5, ""p"": 2, ""r"": 3}","{""score"": 0, ""raw_mean"": 1.6666666666666667, ""mean_all"": 1.4, ""variance"": 0.3, ""label"": 0, ""scores"": [2, 1, 1, 1, 2]}","{""score"": 4.666, ""raw_mean"": 3, ""mean"": 3, ""variance"": 1.5, ""label"": 0, ""scores"": [2, 3, 5, 2, 3]}",4-1-6163
1,70,True,True,True,True,False,43536__70__63534.jpg,project,"{""R"": 4, ""L"": 4, ""M"": 2, ""P"": 2, ""H"": 4}","{""a"": 4, ""m"": 3, ""t"": 4, ""p"": 4, ""r"": 5}","{""score"": 1, ""raw_mean"": 4, ""mean_all"": 3.2, ""variance"": 1.2, ""label"": 0, ""scores"": [4, 4, 2, 2, 4]}","{""score"": 4.666, ""raw_mean"": 4, ""mean"": 4, ""variance"": 0.5, ""label"": 2, ""scores"": [4, 3, 4, 4, 5]}",4-1-70
1,4528,True,True,False,False,False,61006__4528__60016.jpg,project,"{""R"": 2, ""L"": 2, ""M"": 1, ""P"": 1, ""H"": 2}","{""a"": 3, ""m"": 4, ""t"": 3, ""p"": 3, ""r"": 5}","{""score"": 0, ""raw_mean"": 2, ""mean_all"": 1.6, ""variance"": 0.3, ""label"": 0, ""scores"": [2, 2, 1, 1, 2]}","{""score"": 4.666, ""raw_mean"": 3.6, ""mean"": 3.6, ""variance"": 0.8, ""label"": 0, ""scores"": [3, 4, 3, 3, 5]}",4-1-4528
1,2695,True,True,True,False,False,40446__2695__64404.jpg,project,"{""R"": 3, ""L"": 3, ""M"": 3, ""P"": 3, ""H"": 3}","{""a"": 4, ""m"": 4, ""t"": 3, ""p"": 4, ""r"": 5}","{""score"": 0, ""raw_mean"": 3, ""mean_all"": 3, ""variance"": 0, ""label"": 0, ""scores"": [3, 3, 3, 3, 3]}","{""score"": 4.666, ""raw_mean"": 4, ""mean"": 4, ""variance"": 0.5, ""label"": 2, ""scores"": [4, 4, 3, 4, 5]}",4-1-2695
